order_id,customer_id,order_date,region,product_category,price,quantity,coupon_code,revenue
1,38,2024-10-07,West,Home,51.16,1,WELCOME10,51.16
2,236,2024-11-01,North,Clothing,24.75,3,,74.25
3,73,2024-11-04,South,Clothing,59.01,3,,177.03
4,256,2024-10-07,South,Home,362.88,2,,725.76
5,204,2024-07-14,East,Clothing,191.1,3,,573.3
6,134,2024-03-14,West,Books,169.26,3,,507.78
7,145,2024-06-23,North,Electronics,173.59,1,,173.59
8,130,2024-11-18,North,Clothing,60.17,4,,240.68
9,72,2024-01-13,West,Home,8.58,4,,34.32
10,238,2024-05-08,West,Clothing,16.63,1,WELCOME10,16.63
11,282,2024-04-07,South,Clothing,65.21,3,WELCOME10,195.63
12,179,2024-08-14,South,Clothing,192.66,1,,192.66
13,277,2024-05-19,West,Books,33.32,4,,133.28
14,255,2024-12-12,South,Clothing,38.39,3,SPRING20,115.17
15,253,2024-10-07,East,Clothing,44.69,2,WELCOME10,89.38
16,157,2024-08-31,North,Books,78.81,1,WELCOME10,78.81
17,51,2024-02-24,East,Clothing,27.25,2,SPRING20,54.5
18,69,2024-12-29,North,Clothing,95.99,1,,95.99
19,216,2024-09-09,East,Electronics,11.71,3,,35.13
20,242,2024-12-27,North,Clothing,18.09,2,,36.18
21,87,2024-06-24,South,Home,210.79,4,,843.16
22,142,2024-10-23,South,Home,38.85,2,,77.7
23,8,2024-08-18,South,Electronics,124.66,3,,373.98
24,23,2024-12-01,East,Electronics,26.08,4,,104.32
25,2,2024-03-30,East,Books,254.9,2,,509.8
26,210,2024-10-14,East,Electronics,12.68,4,,50.72
27,265,2024-11-08,North,Books,11.46,1,WELCOME10,11.46
28,217,2024-08-30,East,Home,132.19,3,WELCOME10,396.57
29,142,2024-02-03,South,Clothing,56.92,3,,170.76
30,116,2024-01-10,East,Home,6.77,1,,6.77
31,122,2024-11-19,South,Home,33.6,4,,134.4
32,31,2024-03-22,East,Home,29.2,1,,29.2
33,72,2024-03-20,North,Books,142.76,4,SPRING20,571.04
34,50,2024-06-24,East,Home,101.85,1,,101.85
35,4,2024-05-13,South,Books,48.1,4,WELCOME10,192.4
36,281,2024-07-06,North,Clothing,160.48,2,,320.96
37,44,2024-10-07,West,Books,51.91,1,,51.91
38,77,2024-11-10,South,Books,9.57,1,,9.57
39,27,2024-08-26,South,Electronics,162.12,4,SPRING20,648.48
40,110,2024-03-20,North,Home,6.55,1,,6.55
41,298,2024-07-05,East,Electronics,45.45,4,,181.8
42,16,2024-11-03,South,Clothing,106.01,1,SPRING20,106.01
43,65,2024-03-04,South,Clothing,47.69,4,,190.76
44,197,2024-03-24,West,Electronics,187.71,1,WELCOME10,187.71
45,26,2024-08-04,West,Books,115.82,2,,231.64
46,227,2024-07-29,East,Books,71.47,4,WELCOME10,285.88
47,283,2024-04-30,West,Home,131.27,3,,393.81000000000006
48,154,2024-11-07,North,Clothing,20.54,3,WELCOME10,61.62
49,105,2024-07-25,West,Books,12.82,4,WELCOME10,51.28
50,23,2024-04-26,South,Home,195.32,3,SPRING20,585.96
51,266,2024-01-28,North,Electronics,89.12,4,,356.48
52,196,2024-10-06,West,Books,248.82,2,,497.64
53,127,2024-03-10,North,Books,45.2,4,,180.8
54,280,2024-10-06,South,Electronics,15.08,3,,45.24
55,156,2024-10-22,West,Electronics,99.06,4,,396.24
56,84,2024-03-07,North,Electronics,9.96,1,,9.96
57,167,2024-11-29,East,Clothing,41.63,3,,124.89000000000001
58,137,2024-04-16,South,Books,51.53,1,SPRING20,51.53
59,289,2024-06-03,South,Clothing,64.57,4,,258.28
60,267,2024-10-07,East,Books,108.51,4,WELCOME10,434.04
61,280,2024-05-07,South,Clothing,62.64,1,,62.64
62,144,2024-03-28,West,Home,120.26,3,,360.78000000000003
63,240,2024-09-14,West,Books,106.68,1,SPRING20,106.68
64,88,2024-06-22,North,Home,78.11,2,,156.22
65,282,2024-08-27,North,Electronics,234.31,1,,234.31
66,244,2024-01-18,South,Electronics,12.24,3,,36.72
67,75,2024-07-03,East,Clothing,27.99,2,WELCOME10,55.98
68,191,2024-10-16,South,Home,34.13,3,WELCOME10,102.39000000000001
69,217,2024-11-27,North,Books,233.4,1,,233.4
70,152,2024-01-03,North,Books,82.17,4,,328.68
71,184,2024-12-18,North,Clothing,77.33,2,,154.66
72,260,2024-12-12,West,Electronics,21.43,4,,85.72
73,254,2024-03-24,South,Home,7.54,2,,15.08
74,263,2024-02-25,South,Home,25.87,3,,77.61
75,53,2024-01-08,West,Home,96.91,3,,290.73
76,3,2024-08-15,South,Home,58.93,4,,235.72
77,77,2024-06-08,East,Electronics,67.89,3,,203.67000000000002
78,150,2024-12-01,East,Books,96.54,2,,193.08
79,204,2024-12-09,West,Home,420.92,2,,841.84
80,264,2024-07-17,North,Home,38.58,2,,77.16
81,78,2024-11-21,North,Books,26.82,3,,80.46000000000001
82,201,2024-11-07,South,Home,57.18,2,,114.36
83,76,2024-04-02,East,Home,282.31,4,,1129.24
84,44,2024-12-20,North,Clothing,207.57,1,,207.57
85,21,2024-08-03,West,Books,19.03,4,,76.12
86,31,2024-08-01,West,Electronics,154.9,2,,309.8
87,37,2024-03-15,East,Electronics,50.4,2,,100.8
88,264,2024-04-27,East,Home,52.21,4,,208.84
89,58,2024-05-22,South,Home,80.14,3,WELCOME10,240.42000000000002
90,241,2024-02-26,North,Home,27.51,2,WELCOME10,55.02
91,211,2024-08-03,West,Electronics,67.55,4,,270.2
92,97,2024-01-02,East,Home,172.15,4,WELCOME10,688.6
93,270,2024-07-22,West,Electronics,61.94,1,,61.94
94,11,2024-11-28,South,Electronics,71.48,1,,71.48
95,280,2024-08-27,East,Home,127.85,1,WELCOME10,127.85
96,153,2024-05-26,West,Electronics,87.38,1,WELCOME10,87.38
97,203,2024-03-03,South,Electronics,94.97,4,,379.88
98,149,2024-11-17,West,Books,10.75,3,SPRING20,32.25
99,141,2024-11-04,West,Clothing,182.95,4,,731.8
100,194,2024-10-11,North,Home,40.9,2,,81.8
101,95,2024-03-28,East,Books,116.28,2,WELCOME10,232.56
102,61,2024-10-21,North,Books,49.48,1,,49.48
103,153,2024-05-28,West,Books,15.29,3,,45.87
104,131,2024-04-07,West,Books,133.37,1,,133.37
105,221,2024-06-28,North,Books,12.32,1,,12.32
106,104,2024-04-20,South,Clothing,276.75,3,,830.25
107,267,2024-02-29,West,Clothing,144.57,3,,433.71
108,183,2024-12-16,West,Home,298.87,2,,597.74
109,199,2024-01-15,South,Books,117.94,4,,471.76
110,195,2024-11-04,North,Books,63.74,3,,191.22
111,177,2024-02-14,South,Home,96.04,4,,384.16
112,55,2024-01-17,North,Clothing,151.64,3,,454.91999999999996
113,16,2024-07-11,South,Electronics,60.13,3,WELCOME10,180.39000000000001
114,171,2024-04-19,West,Electronics,45.49,1,,45.49
115,21,2024-09-08,East,Clothing,80.64,2,,161.28
116,119,2024-01-11,East,Books,17.53,4,,70.12
117,279,2024-02-15,West,Home,55.58,4,,222.32
118,115,2024-08-04,West,Clothing,10.55,1,,10.55
119,98,2024-03-19,South,Clothing,40.59,3,SPRING20,121.77000000000001
120,182,2024-04-13,East,Electronics,26.96,2,WELCOME10,53.92
121,11,2024-12-21,North,Home,21.04,3,SPRING20,63.12
122,97,2024-11-11,West,Books,176.42,3,,529.26
123,184,2024-12-19,North,Home,35.06,3,,105.18
124,57,2024-06-19,West,Books,25.52,1,,25.52
125,218,2024-07-11,South,Books,228.14,4,SPRING20,912.56
126,232,2024-09-18,West,Clothing,14.56,4,,58.24
127,97,2024-03-31,East,Books,159.93,4,SPRING20,639.72
128,26,2024-11-28,West,Books,216.28,2,,432.56
129,142,2024-02-25,North,Electronics,69.97,2,,139.94
130,213,2024-10-25,West,Books,23.09,3,WELCOME10,69.27
131,117,2024-10-03,South,Books,18.92,3,SPRING20,56.760000000000005
132,135,2024-08-26,South,Books,43.77,1,WELCOME10,43.77
133,206,2024-03-29,North,Books,301.4,4,,1205.6
134,185,2024-10-01,South,Electronics,60.93,3,SPRING20,182.79
135,25,2024-04-02,East,Clothing,76.61,1,,76.61
136,138,2024-07-30,East,Clothing,61.89,1,,61.89
137,200,2024-05-23,South,Electronics,30.49,3,WELCOME10,91.47
138,249,2024-01-18,South,Books,90.22,1,WELCOME10,90.22
139,22,2024-07-08,East,Electronics,63.04,3,SPRING20,189.12
140,297,2024-05-15,North,Clothing,82.53,1,,82.53
141,78,2024-02-25,South,Electronics,26.18,3,,78.53999999999999
142,220,2024-05-10,East,Clothing,76.66,2,,153.32
143,178,2024-05-12,West,Home,38.87,1,SPRING20,38.87
144,46,2024-01-17,North,Books,16.03,1,,16.03
145,145,2024-03-09,East,Electronics,33.78,2,,67.56
146,235,2024-10-13,South,Clothing,115.0,4,,460.0
147,46,2024-02-22,North,Books,14.8,4,,59.2
148,64,2024-12-20,South,Books,17.05,3,,51.150000000000006
149,36,2024-07-06,North,Electronics,37.5,1,,37.5
150,34,2024-08-30,South,Books,24.18,3,WELCOME10,72.53999999999999
151,131,2024-08-16,West,Books,133.46,1,,133.46
152,84,2024-02-01,East,Books,43.88,3,,131.64000000000001
153,49,2024-12-30,North,Electronics,122.04,3,,366.12
154,289,2024-06-09,North,Home,82.09,4,,328.36
155,254,2024-11-02,West,Home,59.16,2,,118.32
156,157,2024-11-03,North,Clothing,11.79,4,,47.16
157,56,2024-01-06,North,Home,325.22,4,WELCOME10,1300.88
158,211,2024-10-16,East,Books,27.3,4,,109.2
159,288,2024-05-08,East,Books,322.13,3,WELCOME10,966.39
160,29,2024-09-22,North,Books,6.97,4,,27.88
161,223,2024-02-01,South,Electronics,22.67,4,,90.68
162,137,2024-12-10,East,Electronics,275.28,2,,550.56
163,110,2024-02-08,East,Books,101.19,3,,303.57
164,100,2024-05-19,West,Books,26.91,3,,80.73
165,33,2024-10-27,North,Electronics,31.74,3,,95.22
